[2017-09-05 16:01:34.976] [INFO] logger - --> GET  /  200  18ms  2017-8-5 16:1:34
[2017-09-05 16:01:35.162] [INFO] logger - --> GET  /favicon.ico  200  0ms  2017-8-5 16:1:35
[2017-09-05 16:03:56.269] [INFO] logger - --> POST  /admin/login  200  191ms  2017-8-5 16:3:56
[2017-09-05 16:03:56.302] [INFO] logger - --> GET  /user/info?token=admin  200  1ms  2017-8-5 16:3:56
[2017-09-05 16:08:55.552] [INFO] logger - --> GET  /admin/info?token=admin  200  6ms  2017-8-5 16:8:55
[2017-09-05 16:11:50.528] [INFO] logger - --> GET  /admin/info?token=admin  200  9ms  2017-8-5 16:11:50
[2017-09-05 16:11:50.732] [INFO] logger - --> GET  /favicon.ico  200  3ms  2017-8-5 16:11:50
[2017-09-05 16:13:20.189] [ERROR] logger - ERROR GET  /admin/info?token=admin  404  4ms  2017-8-5 16:13:20
[2017-09-05 16:13:20.191] [ERROR] logger - ERROR ReferenceError: user is not defined
[2017-09-05 16:13:20.361] [INFO] logger - --> GET  /favicon.ico  200  5ms  2017-8-5 16:13:20
[2017-09-05 16:13:23.365] [ERROR] logger - ERROR GET  /admin/info?token=admin  404  0ms  2017-8-5 16:13:23
[2017-09-05 16:13:23.366] [ERROR] logger - ERROR ReferenceError: user is not defined
[2017-09-05 16:13:23.440] [INFO] logger - --> GET  /favicon.ico  200  1ms  2017-8-5 16:13:23
[2017-09-05 16:13:37.321] [INFO] logger - --> GET  /admin/info?token=admin  200  10ms  2017-8-5 16:13:37
[2017-09-05 16:13:37.483] [INFO] logger - --> GET  /favicon.ico  200  3ms  2017-8-5 16:13:37
[2017-09-05 16:13:45.267] [INFO] logger - --> GET  /admin/info?token=admin  200  1ms  2017-8-5 16:13:45
[2017-09-05 16:13:45.342] [INFO] logger - --> GET  /favicon.ico  200  4ms  2017-8-5 16:13:45
[2017-09-05 16:14:21.343] [INFO] logger - --> GET  /admin/info?token=admin  200  1ms  2017-8-5 16:14:21
[2017-09-05 16:14:51.283] [INFO] logger - --> GET  /admin/info?token=admin  200  112ms  2017-8-5 16:14:51
[2017-09-05 16:16:04.922] [INFO] logger - --> GET  /admin/info?token=admin  200  120ms  2017-8-5 16:16:4
[2017-09-05 16:16:09.786] [INFO] logger - --> GET  /admin/info?token=admin1  200  7ms  2017-8-5 16:16:9
[2017-09-05 16:16:28.068] [INFO] logger - --> POST  /admin/login  200  16ms  2017-8-5 16:16:28
[2017-09-05 16:16:28.124] [INFO] logger - --> GET  /admin/info?token=admin  200  7ms  2017-8-5 16:16:28
[2017-09-05 16:17:37.302] [INFO] logger - --> GET  /admin/info?token=admin  200  135ms  2017-8-5 16:17:37
[2017-09-05 16:17:47.805] [INFO] logger - --> POST  /admin/login  200  28ms  2017-8-5 16:17:47
[2017-09-05 16:17:47.855] [INFO] logger - --> GET  /admin/info?token=admin  200  9ms  2017-8-5 16:17:47
[2017-09-05 16:18:13.759] [INFO] logger - --> GET  /admin/info?token=admin  200  37ms  2017-8-5 16:18:13
[2017-09-05 16:18:27.656] [INFO] logger - --> POST  /admin/login  200  29ms  2017-8-5 16:18:27
[2017-09-05 16:18:27.689] [INFO] logger - --> GET  /admin/info?token=admin  200  4ms  2017-8-5 16:18:27
[2017-09-05 16:21:36.341] [INFO] logger - --> GET  /admin/info?token=admin  200  72ms  2017-8-5 16:21:36
[2017-09-05 16:21:40.301] [INFO] logger - --> POST  /admin/login  200  9ms  2017-8-5 16:21:40
[2017-09-05 16:28:20.606] [INFO] logger - --> POST  /login/logout  200  6ms  2017-8-5 16:28:20
[2017-09-05 16:28:24.171] [INFO] logger - --> POST  /admin/login  200  147ms  2017-8-5 16:28:24
[2017-09-05 16:28:24.214] [INFO] logger - --> GET  /admin/info?token=admin  200  8ms  2017-8-5 16:28:24
[2017-09-05 16:28:31.595] [INFO] logger - --> GET  /admin/info?token=admin  200  11ms  2017-8-5 16:28:31
[2017-09-05 16:30:54.027] [INFO] logger - --> GET  /article/list?page=1&limit=20&sort=%2Bid  200  3ms  2017-8-5 16:30:54
[2017-09-05 16:31:14.159] [INFO] logger - --> GET  /article/list?page=1&limit=30&sort=%2Bid  200  1ms  2017-8-5 16:31:14
[2017-09-05 16:31:16.760] [INFO] logger - --> GET  /article/list?page=1&limit=50&sort=%2Bid  200  0ms  2017-8-5 16:31:16
[2017-09-05 16:31:25.863] [INFO] logger - --> GET  /article/list?page=1&limit=20&sort=%2Bid  200  1ms  2017-8-5 16:31:25
[2017-09-05 16:47:46.517] [INFO] logger - --> GET  /admin/info?token=admin  200  193ms  2017-8-5 16:47:46
[2017-09-05 16:48:32.063] [INFO] logger - --> GET  /admin/info?token=admin  200  638ms  2017-8-5 16:48:31
[2017-09-05 16:48:40.104] [INFO] logger - --> GET  /admin/info?token=admin  200  14ms  2017-8-5 16:48:40
[2017-09-05 16:48:46.794] [INFO] logger - --> POST  /login/logout  200  6ms  2017-8-5 16:48:46
[2017-09-05 16:48:49.364] [INFO] logger - --> POST  /admin/login  200  4ms  2017-8-5 16:48:49
[2017-09-05 16:48:49.432] [INFO] logger - --> GET  /admin/info?token=admin  200  15ms  2017-8-5 16:48:49
[2017-09-05 16:49:06.558] [INFO] logger - --> GET  /admin/info?token=admin  200  24ms  2017-8-5 16:49:6
[2017-09-05 16:53:59.374] [INFO] logger - --> GET  /admin/info?token=admin  200  564ms  2017-8-5 16:53:58
